gruppo	nomeGruppo	senatore	nome	cognome	carica	inizioAdesione	legislatura
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29085	Mauro	Del Barba	Tesoriere	2014-06-24	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29071	Roberto	Cociancich	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/5126	Nicola	Latorre	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/21593	Rosaria	Capacchione	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29141	Mario	Morgoni	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29150	Pamela Giacoma Giovanna	Orru'	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29138	Franco	Mirabelli	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29122	Carlo	Lucherini	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/1458	Andrea	Marcucci	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/6472	Linda	Lanzillotta	Membro	2015-02-18	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29107	Nadia	Ginetti	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29113	Bachisio Silvio	Lai	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/17796	Walter	Tocci	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29040	Bruno	Astorre	Membro	2013-03-19	17
http://dati.senato.it/gruppo/9	Misto	http://dati.senato.it/senatore/29171	Maurizio	Rossi	Membro	2014-04-30	17
http://dati.senato.it/gruppo/9	Misto	http://dati.senato.it/senatore/31009	Stefano	Bertacco	Membro	2017-09-06	17
http://dati.senato.it/gruppo/9	Misto	http://dati.senato.it/senatore/29133	Marino Germano	Mastrangeli	Membro	2013-05-01	17
