gruppo	nomeGruppo	senatore	nome	cognome	inizio	fine	carica	legislatura
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/26041	Valeria	Fedeli	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29096	Elena	Ferrara	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/22740	Marco	Filippi	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29097	Rosanna	Filippin	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/991	Anna	Finocchiaro	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29098	Elena	Fissore	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29105	Francesco	Giacobbe	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29107	Nadia	Ginetti	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29111	Paolo	Guerrieri Paleotti	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29112	Josefa	Idem	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29113	Bachisio Silvio	Lai	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/5126	Nicola	Latorre	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29119	Sergio	Lo Giudice	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29122	Carlo	Lucherini	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/1376	Giuseppe	Lumia	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/1426	Luigi	Manconi	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/1458	Andrea	Marcucci	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/21507	Mauro Maria	Marino	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25466	Donella	Mattesini	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/12379	Marco	Minniti	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29138	Franco	Mirabelli	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29141	Mario	Morgoni	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29144	Claudio	Moscardelli	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29145	Massimo	Mucchetti	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29150	Pamela Giacoma Giovanna	Orru'	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29151	Venera	Padua	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29153	Giorgio	Pagliari	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29157	Annamaria	Parente	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/22770	Leana	Pignedoli	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25424	Luciano	Pizzetti	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29165	Francesca	Puglisi	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29166	Laura	Puppato	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25235	Raffaele	Ranucci	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29170	Gianluca	Rossi	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/17769	Roberto	Ruta	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29173	Angelica	Saggese	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25224	Gian Carlo	Sangalli	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29175	Giorgio	Santini	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29176	Francesco	Scalia	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29180	Annalisa	Silvestro	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29182	Pasquale	Sollo	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29184	Maria	Spilabotte	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/2313	Ugo	Sposetti	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/17796	Walter	Tocci	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/23080	Salvatore	Tomaselli	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/2430	Mario	Tronti	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29192	Stefano	Vaccari	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29194	Vito	Vattuone	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/28924	Francesco	Verducci	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/20658	Luigi	Zanda	2013-03-19	2018-03-22	Presidente	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29195	Magda Angela	Zanoni	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/17663	Sergio	Zavoli	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29162	Stefania	Pezzopane	2013-03-22	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/17750	Roberta	Pinotti	2013-04-09	2013-06-18	Segretario	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/22767	Carlo	Pegorer	2013-04-09	2014-06-23	Tesoriere	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25225	Rita	Ghedini	2013-04-09	2014-10-16	Segretario d'Aula	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29172	Francesco	Russo	2013-04-09	2015-10-21	Segretario	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29078	Erica	D'Adda	2013-04-09	2018-03-22	Segretario	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29116	Stefano	Lepri	2013-04-09	2018-03-22	Vicepresidente	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29124	Patrizia	Manassero	2013-04-09	2018-03-22	Segretario	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29131	Claudio	Martini	2013-04-09	2018-03-22	Vicepresidente Vicario	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29134	Giuseppina	Maturani	2013-04-09	2018-03-22	Vicepresidente	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/22917	Emilia Grazia	De Biasi	2013-04-29	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/22794	Renato Guerino	Turano	2013-04-29	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/17651	Giorgio	Tonini	2013-06-19	2015-11-02	Vicepresidente	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/17750	Roberta	Pinotti	2013-06-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29200	Daniela	Valentini	2013-06-19	2018-03-22	Segretario	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29080	Gianpiero	Dalla Zuanna	2014-06-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/22767	Carlo	Pegorer	2014-06-24	2017-02-27	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29085	Mauro	Del Barba	2014-06-24	2018-03-22	Tesoriere	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/30914	Laura	Fasiolo	2014-07-02	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/17651	Giorgio	Tonini	2014-10-16	2015-10-21	Segretario d'Aula	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/31042	Mara	Valdinosi	2014-10-16	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29211	Stefania	Giannini	2015-02-18	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/11320	Pietro	Ichino	2015-02-18	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/6472	Linda	Lanzillotta	2015-02-18	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/17695	Alessandro	Maran	2015-02-18	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29187	Gianluca	Susta	2015-02-18	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29172	Francesco	Russo	2015-10-22	2018-03-22	Segretario d'Aula	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/17651	Giorgio	Tonini	2015-11-03	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/23135	Salvatore	Margiotta	2016-03-01	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/32307	Lucia	Esposito	2017-09-19	2018-03-22	Membro	17
