gruppo	nomeGruppo	senatore	nome	cognome	carica	inizioAdesione	legislatura
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25424	Luciano	Pizzetti	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29166	Laura	Puppato	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29110	Pietro	Grasso	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/2313	Ugo	Sposetti	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/1426	Luigi	Manconi	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29085	Mauro	Del Barba	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25477	Doris	Lo Moro	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29087	Rosa Maria	Di Giorgi	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25226	Maria Teresa	Bertuzzi	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25495	Maria Grazia	Gatti	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25235	Raffaele	Ranucci	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29076	Giuseppe Luigi Salvatore	Cucca	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/23135	Salvatore	Margiotta	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29071	Roberto	Cociancich	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/5126	Nicola	Latorre	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/21593	Rosaria	Capacchione	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29099	Federico	Fornaro	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29141	Mario	Morgoni	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29150	Pamela Giacoma Giovanna	Orru'	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29138	Franco	Mirabelli	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29122	Carlo	Lucherini	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/1458	Andrea	Marcucci	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29107	Nadia	Ginetti	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/22790	Claudio	Micheloni	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29113	Bachisio Silvio	Lai	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/17796	Walter	Tocci	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29040	Bruno	Astorre	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/25270	Simona	Vicari	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/29197	Vittorio	Zizza	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/17805	Guido	Viceconte	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/17811	Pierantonio	Zanettin	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/25271	Bruno	Alicata	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/1407	Lucio	Malan	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/17823	Ciro	Falanga	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/29081	Nico	D'Ascola	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/22717	Anna Cinzia	Bonfrisco	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/29128	Marco	Marin	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/25491	Vincenzo	Gibiino	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/17887	Niccolo'	Ghedini	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/752	Antonio	D'Ali'	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/22970	Francesco Maria	Giro	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/25458	Antonio	Milo	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/25198	Maria	Rizzotti	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/29126	Andrea	Mandelli	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/1526	Altero	Matteoli	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/23035	Paola	Pelino	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/19020	Massimo	Cassano	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/10369	Riccardo	Villari	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/29033	Piero	Aiello	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/17834	Enzo	Fasano	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/29103	Paolo	Galimberti	Membro	2013-03-19	17
