gruppo	nomeGruppo	senatore	nome	cognome	carica	carica_en	inizio	fine	legislatura	provenance
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25495	Maria Grazia	Gatti	Membro	Member	2013-03-19	2017-02-27	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29109	Miguel	Gotor	Membro	Member	2013-03-19	2017-02-27	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25229	Manuela	Granaiola	Membro	Member	2013-03-19	2017-02-27	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/28580	Maria Cecilia	Guerra	Membro	Member	2013-03-19	2017-02-27	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25477	Doris	Lo Moro	Membro	Member	2013-03-19	2017-02-27	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/4493	Maurizio	Migliavacca	Membro	Member	2013-03-19	2017-02-27	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29167	Lucrezia	Ricchiuti	Membro	Member	2013-03-19	2017-02-27	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29183	Lodovico	Sonego	Membro	Member	2013-03-19	2017-02-27	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29077	Vincenzo	Cuomo	Membro	Member	2013-03-19	2017-09-19	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29110	Pietro	Grasso	Membro	Member	2013-03-19	2017-10-26	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/22790	Claudio	Micheloni	Membro	Member	2013-03-19	2017-12-20	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29035	Donatella	Albano	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/22706	Silvana	Amati	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29037	Ignazio	Angioni	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29040	Bruno	Astorre	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25226	Maria Teresa	Bertuzzi	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29047	Amedeo	Bianco	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29052	Daniele Gaetano	Borioli	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29054	Claudio	Broglia	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29057	Massimo	Caleo	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29060	Laura	Cantini	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/21593	Rosaria	Capacchione	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29062	Valeria	Cardinali	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/16924	Vannino	Chiti	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/18499	Monica	Cirinna'	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29071	Roberto	Cociancich	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29072	Stefano	Collina	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29076	Giuseppe Luigi Salvatore	Cucca	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29087	Rosa Maria	Di Giorgi	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
